mz,intensity
432.0712175,2990.379395
432.0724226,1645.006836
432.0736277,0
432.0748328,0
432.0760379,0
432.077243,0
432.0784481,0
432.0796532,0
432.0808583,0
432.0820634,0
432.0832685,1013.888916
432.0844736,2441.056152
432.0856787,3904.388184
432.0868839,4275.397461
432.088089,3167.035889
432.0892942,1355.236084
432.0904998,0
432.0917049,0
432.0929101,0
432.0941152,0
432.8773302,0
432.8785386,0
432.8797471,0
432.8809556,0
432.882164,442.7584534
432.8833725,4111.577637
432.884581,9698.959961
432.8857894,15530.07324
432.8869979,16687.36719
432.8882064,11648.40234
432.8894149,6432.614746
432.8906234,2423.335449
432.8918319,730.5612793
432.8930409,0
432.8942494,0
432.895458,0
432.8966665,0
433.8153958,0
433.8166082,0
433.8178206,0
433.8190329,0
433.8202453,1708.135742
433.8214577,3182.75293
433.8226701,4010.152832
433.8238825,3550.287842
433.825095,2138.387451
433.8263074,770.6397095
433.8275204,0
433.8287328,0
433.8299452,0
433.8311577,0
434.7930059,0
434.7942224,0
434.7954389,0
434.7966553,0
434.7978718,1849.345703
434.7990883,3642.203369
434.8003048,4998.043945
434.8015213,4976.722656
434.8027378,3668.016846
434.8039544,1977.811035
434.8051709,0
434.8063874,0
434.807604,0
434.8088205,0
434.8392356,0
434.8404523,0
434.8416689,0
434.8428856,0
434.8441023,1183.78186
434.845319,2225.138184
434.8465357,2660.078857
434.8477524,2138.331787
434.8489691,1052.035156
434.8501858,0
434.8514025,0
434.8526193,0
434.853836,0
434.8550527,0
434.8562695,0
434.8574862,993.6963501
434.8587029,2132.870117
434.8599197,2919.491455
434.8611365,2953.057861
434.8623532,2317.954346
434.86357,1415.703491
434.8647868,0
434.8660035,0
434.8672203,0
434.8684371,0
434.8757379,0
434.8769548,0
434.8781716,0
434.8793884,0
434.8806053,1650.91394
434.8818221,3349.630371
434.883039,4432.41748
434.8842558,4078.919189
434.8854727,2553.022949
434.8866895,885.067749
434.8879067,0
434.8891236,0
434.8903405,0
434.8915573,0
435.3896917,0
435.3909107,0
435.3921297,0
435.3933487,0
435.3945677,1704.973267
435.3957867,2914.801025
435.3970057,3324.209473
435.3982247,2650.912842
435.3994437,1384.20105
435.4006635,0
435.4018825,0
435.4031016,0
435.4043206,0
436.7520424,0
